x-axis,1,2
second,Volt,Volt
-486.00E-09,-669.86181447E-03,-689.91707824E-03
-485.00E-09,-677.90201539E-03,-689.91707824E-03
-484.00E-09,-685.94221631E-03,-689.91707824E-03
-483.00E-09,-693.98241723E-03,-689.91707824E-03
-482.00E-09,-687.44975398E-03,-689.91707824E-03
-481.00E-09,-679.40955306E-03,-689.91707824E-03
-480.00E-09,-671.36935215E-03,-689.91707824E-03
-479.00E-09,-663.32915123E-03,-671.07285734E-03
-478.00E-09,-662.82663867E-03,-669.81657594E-03
-477.00E-09,-662.82663867E-03,-669.81657594E-03
-476.00E-09,-669.86181447E-03,-669.81657594E-03
-475.00E-09,-677.90201539E-03,-687.40451545E-03
-474.00E-09,-685.94221631E-03,-689.91707824E-03
-473.00E-09,-686.94724143E-03,-707.50501775E-03
-472.00E-09,-686.94724143E-03,-710.01758054E-03
-471.00E-09,-679.40955306E-03,-710.01758054E-03
-470.00E-09,-671.36935215E-03,-691.17335964E-03
-469.00E-09,-663.32915123E-03,-689.91707824E-03
-468.00E-09,-655.28895031E-03,-671.07285734E-03
-467.00E-09,-654.78643775E-03,-669.81657594E-03
-466.00E-09,-661.82161355E-03,-669.81657594E-03
-465.00E-09,-669.86181447E-03,-687.40451545E-03
-464.00E-09,-678.40452795E-03,-689.91707824E-03
-463.00E-09,-685.94221631E-03,-707.50501775E-03
-462.00E-09,-686.94724143E-03,-710.01758054E-03
-461.00E-09,-686.94724143E-03,-710.01758054E-03
-460.00E-09,-679.40955306E-03,-691.17335964E-03
-459.00E-09,-670.86683959E-03,-689.91707824E-03
-458.00E-09,-662.82663867E-03,-689.91707824E-03
-457.00E-09,-662.82663867E-03,-669.81657594E-03
-456.00E-09,-662.82663867E-03,-688.66079685E-03
-455.00E-09,-670.36432703E-03,-689.91707824E-03
-454.00E-09,-670.86683959E-03,-689.91707824E-03
-453.00E-09,-678.40452795E-03,-689.91707824E-03
-452.00E-09,-686.44472887E-03,-689.91707824E-03
-451.00E-09,-686.94724143E-03,-689.91707824E-03
-450.00E-09,-678.90704051E-03,-689.91707824E-03
-449.00E-09,-678.90704051E-03,-689.91707824E-03
-448.00E-09,-670.86683959E-03,-669.81657594E-03
-447.00E-09,-662.82663867E-03,-669.81657594E-03
-446.00E-09,-662.82663867E-03,-669.81657594E-03
-445.00E-09,-662.82663867E-03,-669.81657594E-03
-444.00E-09,-670.36432703E-03,-688.66079685E-03
-443.00E-09,-678.40452795E-03,-689.91707824E-03
-442.00E-09,-686.44472887E-03,-708.76129915E-03
